 Generated on 02-Apr-2026 at 11:55:37 using ROSCO-v2.6.0
                Time          WE_Cp                    WE_b                     WE_w                     WE_t                     WE_Vm                    WE_Vt                    WE_Vw                    WE_lambda                PC_PICommand             GenSpeedF                RotSpeedF                NacIMU_FA_AccF           FA_AccF                  Fl_PitCom                PC_MinPit                axisTilt_1P              axisYaw_1P               axisTilt_2P              axisYaw_2P               YawRateCom               NacHeadingTarge          NacVaneOffset            Yaw_err                  YawState                 FF_PitchRate             REWS                     REWS_f                   REWS_b                   GenTq                    VS_State                 PltFomPtchRate           PltFomPtchRateF
               (sec)          [-]                      [-]                      [-]                      [-]                      [m/s]                    [m/s]                    [m/s]                    [rad]                    [rad]                    [rad/s]                  [rad/s]                  [rad/s]                  [m/s]                    [rad]                    [rad]                                                                                                                        [rad/s]                  [rad]                    [rad]                    [rad]                                             [rad/s]                  [m/s]                    [m/s]                    [m/s]                    [Nm]                                              [rad/s]                  [rad/s]        
             0.23750              3.18751E-01              1.11841E-01              7.91681E-01              1.97868E+07              1.20001E+01              1.99829E-06              1.20001E+01              7.98078E+00              1.11841E-01              7.91681E-01              7.91681E-01              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              1.97868E+07              4.00000E+00              0.00000E+00              0.00000E+00
             0.25000              3.18750E-01              1.11841E-01              7.91681E-01              1.97868E+07              1.20001E+01              2.40710E-06              1.20001E+01              7.98077E+00              1.11841E-01              7.91681E-01              7.91681E-01              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              1.97868E+07              4.00000E+00              0.00000E+00              0.00000E+00
             0.26250              3.18750E-01              1.11841E-01              7.91681E-01              1.97868E+07              1.20001E+01              2.87478E-06              1.20001E+01              7.98076E+00              1.11841E-01              7.91681E-01              7.91681E-01              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              1.97868E+07              4.00000E+00              0.00000E+00              0.00000E+00
             0.27500              3.18750E-01              1.11841E-01              7.91681E-01              1.97868E+07              1.20001E+01              3.40663E-06              1.20001E+01              7.98076E+00              1.11841E-01              7.91681E-01              7.91681E-01              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              1.97868E+07              4.00000E+00              0.00000E+00              0.00000E+00
             0.28750              3.18750E-01              1.11841E-01              7.91681E-01              1.97868E+07              1.20001E+01              4.00816E-06              1.20001E+01              7.98075E+00              1.11841E-01              7.91681E-01              7.91681E-01              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              1.97868E+07              4.00000E+00              0.00000E+00              0.00000E+00
             0.30000              3.18750E-01              1.11841E-01              7.91681E-01              1.97868E+07              1.20001E+01              4.68507E-06              1.20001E+01              7.98074E+00              1.11841E-01              7.91681E-01              7.91681E-01              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              1.97868E+07              4.00000E+00              0.00000E+00              0.00000E+00
             0.31250              3.18750E-01              1.11841E-01              7.91681E-01              1.97868E+07              1.20001E+01              5.44331E-06              1.20001E+01              7.98073E+00              1.11841E-01              7.91681E-01              7.91681E-01              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              1.97868E+07              4.00000E+00              0.00000E+00              0.00000E+00
             0.32500              3.18750E-01              1.11841E-01              7.91681E-01              1.97868E+07              1.20001E+01              6.28899E-06              1.20001E+01              7.98072E+00              1.11841E-01              7.91681E-01              7.91681E-01              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              1.97868E+07              4.00000E+00              0.00000E+00              0.00000E+00
             0.33750              3.18750E-01              1.11841E-01              7.91681E-01              1.97868E+07              1.20002E+01              7.22846E-06              1.20002E+01              7.98071E+00              1.11841E-01              7.91681E-01              7.91681E-01              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              1.97868E+07              4.00000E+00              0.00000E+00              0.00000E+00
             0.35000              3.18750E-01              1.11841E-01              7.91681E-01              1.97868E+07              1.20002E+01              8.26825E-06              1.20002E+01              7.98070E+00              1.11841E-01              7.91681E-01              7.91681E-01              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              1.97868E+07              4.00000E+00              0.00000E+00              0.00000E+00
